project_name,address,postal_code,postal_district,num_of_units,area_sqm,area_sqft,area_type,transaction_price_dollars,nett_price_dollars,unit_price_psm_dollars,unit_price_psf_dollars,sale_date,property_type,property_tenure,completion_top_date,sale_type,purchaser_address_indicator
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #07-07,319773,12,1,153,1646.89,Strata,2030000,-,13268,1233,10/04/2018,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #08-05,319773,12,1,51,548.96,Strata,830000,-,16275,1512,09/02/2018,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #04-14,319773,12,1,106,1140.98,Strata,1450000,-,13679,1271,26/01/2018,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #28-05,319773,12,1,78,839.59,Strata,1370000,-,17564,1632,18/01/2018,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #06-05,319773,12,1,51,548.96,Strata,828000,-,16235,1508,02/01/2018,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #12-14,319773,12,1,106,1140.98,Strata,1450000,-,13679,1271,15/12/2017,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #20-07,319773,12,1,153,1646.89,Strata,2110000,-,13791,1281,27/10/2017,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #16-13,319773,12,1,66,710.42,Strata,1042500,-,15795,1467,18/10/2017,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #06-12,319773,12,1,51,548.96,Strata,808000,-,15843,1472,09/10/2017,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #24-01,319773,12,1,138,1485.43,Strata,1808000,-,13101,1217,27/09/2017,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #24-12,319773,12,1,51,548.96,Strata,800000,-,15686,1457,13/09/2017,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #14-07,319773,12,1,153,1646.89,Strata,1950000,-,12745,1184,07/08/2017,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #24-10,319773,12,1,153,1646.89,Strata,1950000,-,12745,1184,11/07/2017,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #05-11,319773,12,1,108,1162.51,Strata,1450000,-,13426,1247,30/06/2017,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #22-03,319773,12,1,106,1140.98,Strata,1488000,-,14038,1304,01/06/2017,Condominium,Freehold,2000,Resale,Private
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #14-06,319773,12,1,108,1162.51,Strata,1700000,-,15741,1462,29/05/2017,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #15-11,319773,12,1,108,1162.51,Strata,1400000,-,12963,1204,19/05/2017,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #19-07,319773,12,1,153,1646.89,Strata,2000000,-,13072,1214,11/05/2017,Condominium,Freehold,2000,Resale,HDB
TRELLIS TOWERS,700 LORONG 1 TOA PAYOH #19-12,319773,12,1,51,548.96,Strata,830000,-,16275,1512,09/05/2017,Condominium,Freehold,2000,Resale,HDB
