project_name,address,postal_code,postal_district,num_of_units,area_sqm,area_sqft,area_type,transaction_price_dollars,nett_price_dollars,unit_price_psm_dollars,unit_price_psf_dollars,sale_date,property_type,property_tenure,completion_top_date,sale_type,purchaser_address_indicator
ZENITH,60 ZION ROAD #08-01,247785,10,1,55,592.02,Strata,1070000,-,19455,1807,28/01/2013,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #03-08,247785,10,1,44,473.62,Strata,912000,-,20727,1926,15/11/2012,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #11-08,247785,10,1,44,473.62,Strata,950000,-,21591,2006,24/10/2012,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #04-08,247785,10,1,44,473.62,Strata,900000,-,20455,1900,19/10/2012,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #11-05,247785,10,1,52,559.73,Strata,1080000,-,20769,1930,19/10/2012,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #09-02,247785,10,1,72,775.01,Strata,1420000,-,19722,1832,17/10/2012,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #05-06,247785,10,1,69,742.72,Strata,1450000,-,21014,1952,28/09/2012,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #04-03,247785,10,1,69,742.72,Strata,1390000,-,20145,1872,14/08/2012,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #09-06,247785,10,1,69,742.72,Strata,1500000,-,21739,2020,31/07/2012,Apartment,999 yrs from 21/06/1877,2011,Resale,HDB
ZENITH,60 ZION ROAD #12-01,247785,10,1,55,592.02,Strata,1060000,-,19273,1790,27/02/2012,Apartment,999 yrs from 21/06/1877,2011,Resale,Private
ZENITH,60 ZION ROAD #11-06,247785,10,1,70,753.48,Strata,1470000,-,21000,1951,22/08/2011,Apartment,999 yrs from 21/06/1877,2011,Sub Sale,Private
ZENITH,60 ZION ROAD #08-04,247785,10,1,53,570.49,Strata,1040000,-,19623,1823,11/08/2011,Apartment,999 yrs from 21/06/1877,2011,Sub Sale,Private
ZENITH,60 ZION ROAD #05-01,247785,10,1,55,592.02,Strata,1080000,-,19636,1824,29/07/2011,Apartment,999 yrs from 21/06/1877,2011,Sub Sale,Private
ZENITH,60 ZION ROAD #09-04,247785,10,1,53,570.49,Strata,1064000,-,20075,1865,22/07/2011,Apartment,999 yrs from 21/06/1877,2011,Sub Sale,HDB
ZENITH,60 ZION ROAD #10-08,247785,10,1,44,473.62,Strata,888000,-,20182,1875,18/07/2011,Apartment,999 yrs from 21/06/1877,2011,Sub Sale,Private
ZENITH,60 ZION ROAD #09-08,247785,10,1,44,473.62,Strata,900000,-,20455,1900,01/07/2011,Apartment,999 yrs from 21/06/1877,2011,Sub Sale,Private
ZENITH,60 ZION ROAD #09-05,247785,10,1,53,570.49,Strata,965000,-,18208,1692,18/04/2011,Apartment,999 yrs from 21/06/1877,Uncompleted,Sub Sale,HDB
ZENITH,60 ZION ROAD #04-05,247785,10,1,52,559.73,Strata,888888,-,17094,1588,07/01/2011,Apartment,999 yrs from 21/06/1877,Uncompleted,Sub Sale,Private
ZENITH,60 ZION ROAD #12-03,247785,10,1,70,753.48,Strata,1385000,-,19786,1838,05/01/2011,Apartment,999 yrs from 21/06/1877,Uncompleted,Sub Sale,Private
ZENITH,60 ZION ROAD #07-08,247785,10,1,44,473.62,Strata,720000,-,16364,1520,07/07/2010,Apartment,999 yrs from 21/06/1877,Uncompleted,Sub Sale,Private
ZENITH,60 ZION ROAD #13-03,247785,10,1,228,2454.19,Strata,2880000,-,12632,1174,27/04/2010,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #13-05,247785,10,1,228,2454.19,Strata,2700000,-,11842,1100,23/04/2010,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #05-04,247785,10,1,53,570.49,Strata,796000,-,15019,1395,06/11/2009,Apartment,999 yrs from 21/06/1877,Uncompleted,Sub Sale,Private
ZENITH,60 ZION ROAD #04-07,247785,10,1,105,1130.22,Strata,1356000,-,12914,1200,24/07/2009,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,Private
ZENITH,60 ZION ROAD #06-06,247785,10,1,70,753.48,Strata,1054200,-,15060,1399,24/07/2009,Apartment,999 yrs from 21/06/1877,Uncompleted,New Sale,HDB
