housing_type,project_name,address,postal_code,area_sqm,transaction_price,sale_date,latitude,longitude
private,THE FLORENCE RESIDENCES,93 HOUGANG AVENUE 2 #17-60,538865,44,887000,01/08/21,1.367053,103.8860761
private,OLA,82 ANCHORVALE CRESCENT #02-26,544559,98,1280500,02/08/21,1.39712,103.8922927
private,SENGKANG GRAND RESIDENCES,84 COMPASSVALE BOW #04-55,544572,94,1707480,02/08/21,1.383608,103.8925741
private,UPPER SERANGOON SHOPPING CENTRE,756 UPPER SERANGOON ROAD #04-18,534626,19,330000,03/08/21,1.35348,103.8788284
private,A TREASURE TROVE,66 PUNGGOL WALK #16-35,828783,447,3650000,03/08/21,1.405213,103.8994766
private,MIDTOWN RESIDENCES,1189 UPPER SERANGOON ROAD #07-18,534785,64,905000,05/08/21,1.370735,103.8951208
private,THE LUXURIE,29 COMPASSVALE ROAD #14-38,544758,98,1276000,05/08/21,1.389264,103.8965753
private,AUSTVILLE RESIDENCES,11 SENGKANG EAST AVENUE #11-03,544804,114,1330000,05/08/21,1.380965,103.9008203
private,THE LILIUM,33 HOW SUN ROAD #05-10,538501,101,2146800,06/08/21,1.345796,103.880802
private,THE QUARTZ,69 COMPASSVALE BOW #12-36,544993,98,1200000,06/08/21,1.380469,103.8943185
private,OLA,72 ANCHORVALE CRESCENT #04-08,544600,98,1277500,08/08/21,1.397707,103.8922654
private,RIVERPARC RESIDENCE,102 PUNGGOL DRIVE #01-28,828800,126,1150000,12/08/21,1.398001,103.9171032
private,OLA,86 ANCHORVALE CRESCENT #06-36,544561,72,894740,15/08/21,1.397337,103.891841
private,THE QUINN,13 BARTLEY ROAD #05-16,539789,165,2000000,16/08/21,1.344,103.8732237
private,THE FLORENCE RESIDENCES,81 HOUGANG AVENUE 2 #15-01,538859,45,903000,17/08/21,1.367215,103.88707
private,KINGSFORD WATERBAY,74 UPPER SERANGOON VIEW #11-46,533881,45,627000,19/08/21,1.37472,103.9037317
private,RIVERSAILS,20 UPPER SERANGOON CRESCENT #05-49,534026,79,890000,20/08/21,1.378852,103.9024802
private,OLA,80 ANCHORVALE CRESCENT #05-23,544558,72,899650,25/08/21,1.397128,103.8925373
private,RIVER ISLES,64 EDGEDALE PLAINS #04-26,828731,114,1228000,26/08/21,1.396665,103.9132329
private,RIVERSAILS,4 UPPER SERANGOON CRESCENT #10-10,534034,82,939999,27/08/21,1.378033,103.9024815
private,AFFINITY AT SERANGOON,24 SERANGOON NORTH AVENUE 1 #06-36,554339,107,1765000,27/08/21,1.366082,103.8732053
private,OLA,80 ANCHORVALE CRESCENT #14-22,544558,98,1410000,30/08/21,1.397128,103.8925373
private,BOATHOUSE RESIDENCES,33 UPPER SERANGOON VIEW #09-28,534042,85,980000,02/09/21,1.375578,103.9033168
private,ECOPOLITAN,128 PUNGGOL WALK #12-11,828775,127,1440000,02/09/21,1.40103,103.897212
private,BARTLEY RESIDENCES,3 LORONG HOW SUN #03-10,536560,43,663000,03/09/21,1.343132,103.8817743
private,BARTLEY VUE,6 JALAN BUNGA RAMPAI #07-03,538310,68,1420000,04/09/21,1.340361,103.8838464
private,BARTLEY VUE,8 JALAN BUNGA RAMPAI #03-05,538311,68,1330000,04/09/21,1.340493,103.8836586
private,D'ZIRE,12 ROBEY CRESCENT #03-10,546290,40,575000,06/09/21,1.368323,103.8821663
private,CASA CAMBIO,9 LIM TUA TOW ROAD #03-12,547726,62,972800,06/09/21,1.353688,103.8764446
private,THE FLORENCE RESIDENCES,83 HOUGANG AVENUE 2 #18-17,538860,62,1054000,08/09/21,1.366818,103.8870013
private,RIVERFRONT RESIDENCES,53 HOUGANG AVENUE 7 #15-64,533819,67,1040000,09/09/21,1.371535,103.9000635
private,URBAN RESIDENCES,10 LORONG AH SOO #05-01,534051,152,2020000,09/09/21,1.350774,103.8800809
private,ECOPOLITAN,132 PUNGGOL WALK #10-17,828777,98,1120000,10/09/21,1.400896,103.8967673
private,OLA,80 ANCHORVALE CRESCENT #14-21,544558,98,1431000,11/09/21,1.397128,103.8925373
